Region,Country,Category (h2),Newspapers,Count
Africa,Kenya,Emerging & Youth-Focused Media,"Kenyans.co.ke Youth: kenyans.co.ke, Kenya Diaspora News: kenyadiaspora.co.ke, Kenyan Startup Digest: kenyastartups.co.ke, Kenyan Sports Weekly: kenyasports.co.ke, Kenyan Fashion & Lifestyle: kenyanfashion.co.ke",5
Africa,Kenya,Kenyan Media in Indigenous Languages,"Inooro FM (Kikuyu): inooro.co.ke, Ramogi FM (Luo): ramogifm.co.ke, Maasai TV (Maasai): maasaitv.co.ke, Kikuyu News (Kikuyu): kikuyunews.co.ke, Kalenjin News (Kalenjin): kalenjinnow.co.ke",5
Africa,Kenya,Kenyan Newspapers and News Sites,"The Daily Nation: nation.africa, The Standard: standardmedia.co.ke, People Daily: businessdailyafrica.com, The EastAfrican: theeastafrican.co.ke, Kenyan Wallstreet: kenyanwallstreet.com, The Star: the-star.co.ke, Nairobi News: nairobinow.co.ke, Kenyan Citizen TV: citizentv.co.ke, Radio Jambo: radiojambo.co.ke, Kenya News Agency (KNA): kenyanews.go.ke, Kenyan Review: kenyanreview.com, Kenyan.co.ke: kenyan.co.ke",12
Africa,Kenya,Regional & Local Media,"Mombasa County News: mombasanews.co.ke, Nakuru Today: nakurutoday.co.ke, Kericho Post: kerichopost.co.ke, Eldoret Times: eldoret.co.ke, Kitui County News: kituinow.co.ke",5
Africa,Kenya,Specialized & Niche Platforms,"Kenyan Investigative Journalism (KIJ): kij.co.ke, Kenyans.co.ke: kenyans.co.ke, Kenya Tech Review: kenyatech.co.ke, Kenyan Environmental News: kenyaenvironment.co.ke, Kenya Education Hub: kenyaeducation.co.ke",5
Africa,Libya,Arabic-Language Publications (Key Outlets),"Al-Wasat (Arabic): alwasat.ly, 218 News: 218tv.net, Libya Al-Ahrar: libyaalahrar.net, Sada Libya: sadalibya.net, Akhbar Libya 24: akhbarlibya24.net, Febrayer: febrayer.com, Al-Marsad: almarsad.co, Libya’s Channel: libyaschannel.tv, Bawabat Al-Wasat: bawabat.alwasat.ly, Al-Manara: almanaralibya.net, Libya Al-Mostakbal: libya-almostakbal.org, Huna Libya: hunalibya.net, Al-Tayar: altayer.news, Libya Akhbar: libya-akhbar.com, Al-Nabaa TV: alnabaa.tv, Libya Press: libyapress.net, Afrigate News: afrigatenews.net, Libya Al-Youm: libya-alyoum.com",18
Africa,Libya,English-Language Publications,"Libya Herald: libyaherald.com, The Libya Observer: libyaobserver.ly, Alwasat (English Section): alwasat.ly",3
Africa,Madagascar,English-Language Publications,"Madagascar Tribune: madagascar-tribune.com, The Madagascar Express: madagascarexpress.com",2
Africa,Madagascar,French-Language Publications,"L’Express de Madagascar: lexpress.mg, Midi Madagasikara: midi-madagasikara.mg, La Gazette de la Grande Île: lagazette-madagascar.com, Madagascar Matin: madagascar-matin.mg, Les Nouvelles: lesnouvelles.mg, Orange Actualités Madagascar: actu.orange.mg",6
Africa,Madagascar,Malagasy-Language Publications,"Taratra: taratra.mg, Ino Vaovao: inovaovao.mg, Vaovao: vaovao.mg, Masoandro News: masoandronews.mg, Fahazavana: fahazavana.mg, Gazetiko: gazetiko.mg",6
Africa,Madagascar,Multilingual & Other Key Publications,"Madagascar National TV (TVM) News: tvm.mg, BBC News Madagascar: bbc.com, RFI Madagascar (Radio France Internationale): rfi.fr, China Radio International (CRI) Madagascar: mg.cri.cn, AllAfrica – Madagascar Section: allafrica.com, EcoMada: ecomada.mg, TopMada: topmada.com, 2424.mg: 2424.mg",8
Africa,Malawi,Business & Specialized Publications,"The Business Times Malawi: businesstimesmw.com, Farmers Voice Magazine: farmersvoicemw.com",2
Africa,Malawi,Chichewa & Other Local Language Publications,"Moni Magazine: moni-magazine.com, Umodzi Newspaper: umodzipaper.com, Boma Lathu: bomalathu.com, Nkhani Zam’maboma (BBC Chichewa): bbc.com, MBC Online (Malawi Broadcasting Corporation): mbc.mw",5
Africa,Malawi,English-Language Publications,"The Nation: mwnation.com, The Daily Times: times.mw, Nyasa Times: nyasatimes.com, Malawi24: malawi24.com, The Maravi Post: maravipost.com, Face of Malawi: faceofmalawi.com, Malawi Voice: malawivoice.com, Zodiak Online: zodiakmalawi.com, Times 360 Malawi: times360malawi.com, The Guardian Malawi: guardianmw.com",10
Africa,Malawi,Independent & Investigative Outlets,"Platform for Investigative Journalism (PIJ Malawi): pijmalawi.org, Centre for Investigative Journalism Malawi (CIJM): cijmalawi.org, The Lamp Magazine: thelampmagazine.com",3
Africa,Morocco,Additional Notable Online News Sources,"Moroccan Diaspora News: diaspora.maroc, Morocco Development Watch: development.maroc, Moroccan Education News: education.maroc, Moroccan Women’s Voice: women.maroc, Morocco Tech News: technews.maroc",5
Africa,Morocco,Arabic-language Newspapers and News Sites,"Al Massae: almassae.press, Assabah: assabah.ma, Al Ahdath Al Maghribia: alahdath.info, Al Yaoum Al Maghribi: alyaoum24.com, Al Maghrib Alyoum: almaghrebalyoum.com, Al Khbar: alkhabar.ma, Al Ousboue: alousboue.com, Rissala: rissala.net, Al Jarida Al Oula: aljarida24.ma, Al Aoula News (Moroccan State TV): alaoula.ma",10
Africa,Morocco,Business & Economy Focused,"Morocco Investment & Business News: investment.maroc, Moroccan Real Estate & Housing: realestate.maroc, Morocco’s Agricultural Sector: agriculture.maroc, Moroccan Tourism Industry: tourism.maroc, Moroccan Startup Scene: startups.maroc",5
Africa,Morocco,Cultural & Historical News Platforms,"Moroccan Heritage & History: heritage.maroc, Moroccan Literary Review: literature.maroc, Moroccan Film & Arts: cinema.maroc, Moroccan Culinary Heritage: culinary.maroc, Morocco’s Cultural Festivals: festivals.maroc",5
Africa,Morocco,Digital-only & Emerging News Platforms,"Morocco Digital News: digital.maroc, Moroccan Youth Voice: youth.maroc, Moroccan Tech & Innovation: tech.maroc, Morocco Travel & Tourism: travel.maroc, Moroccan Food & Culture: food.maroc",5
Africa,Morocco,English-language Newspapers and News Sites,"Morocco World News: moroccoworldnews.com, The North Africa Post: northafricapost.com, Morocco Today: moroccotoday.com, Moroccan American News: moroccanamericannews.com, The Moroccan Observer: moroccanobserver.com, Morocco News Agency (MAP): mapnews.ma, Africa Review: africareview.com, Morocco Business News: moroccobusinessnews.com, Global Moroccan News: globalmoroccanews.com",9
Africa,Morocco,French-language Newspapers and News Sites,"Le Matin: lematin.ma, L'Économiste: leconomiste.com, Aujourd'hui Le Maroc: aujourdhui.ma, La Vie Éco: lavieeco.com, Le Reporter: lereporter.ma, Le360: le360.ma, LesEco: leseco.ma, L’Opinion: lopinion.ma, Maroc Diplomatique: marocdiplomatique.net, Le Journal Hebdomadaire: lejournalhebdomadaire.com",10
Africa,Morocco,Regional and Local Newspapers,"Le Journal de Meknès: lejournaldemeknes.com, L’Opinion de Fès: lopiniondefes.com, Oujda News: oujdapost.ma, Tanger Tribune: tangertribune.com, Agadir Post: agadirpost.com",5
Africa,Morocco,Specialized and Niche News Platforms,"Moroccan Sports News: sport.maroc, Moroccan Arts & Culture: culture.maroc, Moroccan Business & Finance: finance.maroc, Moroccan Environment & Sustainability: environment.maroc, Moroccan Lifestyle & Fashion: lifestyle.maroc",5
Africa,Namibia,Afrikaans & Indigenous Language Publications,"Die Republikein: republikein.com.na, Omutumwa: omutumwa.com, Namib Times: namibtimes.net, Allgemeine Zeitung: az.com.na, Tempo: temponamibia.com, Ewi lyaNooli: , Uukwamatsi: , Informanté: informante.web.na, Namibia Daily News: namibiadailynews.com, Southern Times: southerntimesafrica.com",10
Africa,Namibia,English Publications,"The Namibian: namibian.com.na, New Era: neweralive.na, Namibia Economist: economist.com.na, The Villager: thevillager.com.na, Confidente: confidente.com.na, Namibian Sun: namibiansun.com, Republikein: republikein.com.na, Windhoek Observer: observer24.com.na, Truth, for its time: truth.com.na, Lelamobile: lelamobile.com",10
Africa,Namibia,Table of Contents:,"English Publications: , Afrikaans & Indigenous Language Publications: , Regional & Niche Publications: ",3
Africa,Nigeria,English-language Newspapers and News Sites,"Punch Newspapers: punchng.com, Vanguard Nigeria: vanguardngr.com, The Guardian Nigeria: guardian.ng, This Day: thisdaylive.com, Premium Times: premiumtimesng.com, Daily Trust: dailytrust.com, Channels Television: channelstv.com, The Nation: thenationonlineng.net, NairaMetrics: nairametrics.com, The Cable: thecable.ng",10
Africa,Nigeria,Hausa-language Newspapers and News Sites,"Rariya: rariya.ng, HausaTimes: hausatimes.com, Gaskiya Times: gaskiyattimes.com",3
Africa,Nigeria,Igbo-language Newspapers and News Sites,"Igbo Post: igbopost.com, Nwa Igbo: nwaigbo.com, Igbo Today: igbotoday.com",3
Africa,Nigeria,Pidgin English-language Newspapers and News Sites,"Naija News: naijabusiness.com, LailasBlog: lailasblog.com, Gistmania: gistmania.com",3
Africa,Nigeria,Regional and Local Newspapers,"The Sun Nigeria: sunnewsonline.com, The Nation Newspaper: thenationonlineng.net, Daily Trust (Northern Nigeria): dailytrust.com, The Guardian Nigeria (Lagos-based): guardian.ng",4
Africa,Nigeria,Specialized and Niche Platforms,"TheCable: thecable.ng, Naija247 News: naija247news.com, Nairametrics: nairametrics.com, Pulse Nigeria: pulse.ng",4
Africa,Nigeria,Yoruba-language Newspapers and News Sites,"Orisun: orisunnigeria.com, Yoruba Voice: yorubavoice.com, Yoruba Times: yorubatimes.com",3
Africa,Sierra Leone,English-Language Publications,"Awoko Newspaper: awoko.org, Concord Times: concordtimes.net, Sierra Leone Telegraph: thesierraleonetelegraph.com, Standard Times Press: standardtimespress.org, Politico SL: politicosl.com, Sierra Eye Magazine: sierraeyemagazine.com, The Calabash Newspaper: thecalabashnewspaper.com, Sierra Leone News Hub: slnewshub.com, Salone Times: salonetimes.com, Sierra Loaded: sierraloaded.sl, Sierra Leone Daily Mail: sl.dailymail.com",11
Africa,Sierra Leone,Local Language & Bilingual Publications,"For Di People Newspaper (Krio & English): fordipeople.com, Peep! Magazine (Krio & English): peepmagazine.sl, The New Storm (Krio & English): thenewstorm.org, Leh Wi Tok (Krio & Local Languages): lehwitok.com, Makeni Times (Temne & English): makenitimes.com, Bo Attraction (Mende & English): boattraction.com, Krio News Network (KNN): krionews.sl, Sierra Leone Rural Reporter: slruralreporter.org",8
Africa,Sierra Leone,Table of Contents:,"English-Language Publications: , Local Language & Bilingual Publications: ",2
Africa,Somalia,English-Language Publications,"Garowe Online: garoweonline.com, Hiiraan Online: hiiraan.com, Goobjoog News: goobjoog.com, Somaliland Standard: somalilandstandard.com, The Somali Times: somalitimes.com, Radio Dalsan: radiodalsan.com, Mareeg News: mareeg.com, Somaliland.com: somaliland.com, Keydmedia Online: keydmedia.net, Somalia Newsroom: somalianewsroom.com",10
Africa,Somalia,Somali-Language Publications,"BBC Somali: bbc.com, VOA Somali: voasomali.com, Radio Kulmiye: radiokulmiye.net, SNTV (Somali National Television): sntv.so, Risaala Media: risaala.com, Jowhar News: jowhar.com, Waagacusub: waagacusub.com, Puntland Post: puntlandpost.net, Horn Observer: hornobserver.com, Dalsan TV: dalsantv.com, Somaliland Today: somalilandtoday.net",11
Africa,Somalia,Table of Contents:,"English-Language Publications: , Somali-Language Publications: ",2
Africa,South Africa,Additional Notable South African News Platforms,"SABC News: sabcnews.com, EWN (Eyewitness News): ewn.co.za, The Citizen: citizen.co.za, Daily Maverick: dailymaverick.co.za, SowetanLIVE: sowetanlive.co.za, IOL (Independent Online): iol.co.za, Fin24: fin24.com, The Herald: heraldlive.co.za, Cape Times: capetimes.co.za, City Press: city-press.news24.com",10
Africa,South Africa,Afrikaans-language Newspapers and News Sites,"Die Burger: dieburger.com, Rapport: netwerk24.com, Beeld: beeld.com, Volksblad: volksblad.com",4
Africa,South Africa,English-language Newspapers and News Sites,"News24: news24.com, The South African: thesouthafrican.com, Mail & Guardian: mg.co.za, Business Day: businesslive.co.za, The Citizen: citizen.co.za, Sunday Times: timeslive.co.za, IOL (Independent Online): iol.co.za, SowetanLIVE: sowetanlive.co.za, The Daily Maverick: dailymaverick.co.za, City Press: city-press.news24.com",10
Africa,South Africa,"Tswana, Sesotho, and Other Languages","Botswana Gazette: thegazette.news, Limpopo Mirror: limpopomirror.co.za, Motsweding FM: motswedingfm.co.za",3
Africa,South Africa,Xhosa-language Newspapers and News Sites,"Iinkcukacha: iinkcukacha.co.za, Umhlobo Wenene: umhlobowenene.co.za",2
Africa,South Africa,Zulu-language Newspapers and News Sites,"Ilanga: ilanga.co.za, Inqaba: inqaba.co.za, Umhlobo Wenene: umhlobowenene.co.za",3
Africa,Sudan,Arabic-Language Publications,"Al-Sudani: alsudani.info, Al-Tayar: altareeq.info, Al-Jarida: aljarida.com, Al-Akhbar Al-Youm: alakhbaralyom.net, Al-Rakoba: alrakoba.net, Sudanile: sudanile.com, Al-Midan: almidan.info, Al-Watan: alwatan.sd, Al-Sayha: alsayha.sd, Al-Intibaha: alintibaha.net",10
Africa,Sudan,English-Language Publications,"Sudan Tribune: sudantribune.com, Dabanga Sudan: dabangasudan.org, Radio Dabanga: radiodabanga.org, The Niles: theniles.org, Sudan Daily: sudandaily.org",5
Africa,Sudan,Regional & Specialized Publications,"Darfur 24: darfur24.net, Hurriyat Sudan: hurriyatsudan.com, Sudanow Magazine: sudanow-magazine.net, Zalingei News: ",4
Africa,Sudan,Table of Contents:,"English-Language Publications: , Arabic-Language Publications: , Regional & Specialized Publications: ",3
Africa,Tanzania,English-language Newspapers and News Sites,"The Citizen: thecitizen.co.tz, Daily News: dailynews.co.tz, The Guardian Tanzania: tz.theguardian.com, Tanzania Standard: tzstandard.co.tz, Mwanaspoti: mwanaspoti.co.tz, The East African: theeastafrican.co.tz, Mtanzania: mtanzania.co.tz, Tanzania Today: tanzaniatoday.co.tz, Jambo Leo: jamboleo.co.tz, Bongo5: bongo5.com",10
Africa,Tanzania,Regional and Local Newspapers,"Mwananchi Communications Ltd: mwananchi.co.tz, Kilimanjaro Post: kilimanjaropost.co.tz, Arusha Times: arushatimes.co.tz, Dodoma Times: dodomatimes.co.tz, Mbeya Daily: mbeyadaily.co.tz",5
Africa,Tanzania,Specialized and Niche Platforms,"Tanzania Business News: tanzaniabusiness.co.tz, Tanzania Sports: tanzaniasports.co.tz, Arts and Culture Tanzania: artstanzania.co.tz, Tanzania Environmental Watch: tanzaniaenvironment.co.tz, Tanzania Youth News: tanzaniaYouth.co.tz",5
Africa,Tanzania,Swahili-language Newspapers and News Sites,"Nipashe: habarileo.co.tz, Mwananchi: mwananchi.co.tz, Uhuru: uhuru.co.tz, Majira: majira.co.tz, Sunday News: sundaynews.co.tz, Tanzania Daima: tanzaniadaima.co.tz, Michezoyake: michezoyake.co.tz, Mzalendo: mzalendo.co.tz, Tanzania Leo: tanzanialeo.co.tz",9
Africa,Tunisia,English-Language Newspapers in Tunisia,"Tunisia Live: tunisia-live.net, The North Africa Post: northafricapost.com, Tunisia Observer: tunisiaobserver.com",3
Africa,Tunisia,Leading French-Language Tunisian Dailies,"La Presse de Tunisie: lapresse.tn, Le Temps: letemps.com.tn, Business News: businessnews.com.tn, HuffPost Maghreb: huffpostmaghreb.com, Kapitalis: kapitalis.com, Webdo: webdo.tn",6
Africa,Tunisia,Most Popular Arabic Newspapers in Tunisia,"Assabah (الصباح): assabah.com.tn, Al Chourouk (الشروق): alchourouk.com, Akhbar Tounes (أخبار تونس): akhbartounes.com, Tunisie Numérique (تونس الرقمية): tunisienumerique.com, Shems FM (شمس أف أم): shemsfm.net, Mosaique FM (إذاعة موزاييك أف أم): mosaiquefm.net, Tunisie Haut Debit (تونس هوت دوبيت): tunisiehautdebit.com",7
Africa,Tunisia,Other Notable Publications,"Inkyfada (إنكيفادا): inkyfada.com, Nawaat: nawaat.org, Tunis Webdo: tuniswebdo.com, Tunisie Tribune: tunisietribune.com, Al Maghreb (المغرب): almaghreb.tn, Tunisia Today: tunisia-today.com",6
